aagę	she did say
agegwęh	how much I have obtained or acquired
agehak	my aunt (old word)
agęhęk	It should be
agehnanawęht	I wet it
agehowegǫh	I did cover something
agehsadǫ	I buried it (an animal)
agęhsidohai	I did wash my feet
agehsinajiyoh	I have a lame leg
agehsinanǫhwas	I have a sore leg
agehsohdanǫhwas	I have a sore hand
agehsohdatgi	I have dirty hands
agehswęgaiyo	I am Hawk Clan
agehswenanǫhwas	I have a sore back
agehtaę	I did talk
agehtagye	I am talking as I go along 
agehtak	I did talk
agehtakhne	what I did talk about
agejagǫ	I persevered
agejagǫǫh	I do persevere (all the time)
agejaohogwanǫhwas	I have a sore ankle
agejinyǫhgrot	I have a runny nose
agejiyo	I am crippled, lame
agekdǫ	I did look closely at it; I have examined it
agekǫni	I cooked
agekǫni	I cooked a meal
agekǫnihne	I have cooked
ageksada	my child
ageksagowagęhek	I wish I were handsome
ageksedanǫhwas	I have a stomach ache
agekwędaǫh	I have finished eating
agęnadawę	they (animal) should swim
agęnadego	they (animal) ran away
agęnadęhnyeha	they (animal) won (a bet)
agęnadekǫni	they (animal) ate
agęnagradǫh	I was born
agęnatahago	they (animal) turned off the road
agęnatgweni	they (animal) won a competition
agęnatǫ	they (animal) lay down
agęnatsęnǫni	they (animal) got happy
agenewa	I was surprised
agenhiǫh	I have made a mistake, an error
agenhis	I err, make mistakes
agenhodǫ	I have locked it
agenhodǫgwęh	I have opened or unlocked it
agenhohahǫh	I have closed the door
agęnidagre	I laid myself down
agęnidahswahęhdrǫ	I got scolded
agęnideni	I should, might fart
agęnidenyǫ	I have farted
agęnihę	I stopped or quit
agęnihsgyage	I am urinating
agenihshę	I have a father
agęnǫhdǫ	I know
agenowaę	I am squatting
agęnowaędahk	I made it sink
agęnowę	I am a liar
agęnowęht	I lied
agenyagǫh	I am married
agenyagwahǫh	I am vomiting (right now)
agenyagwahs	I am vomiting; I am a vomiter, I vomit all the time
agenyas	I am getting married right now
ageogǫh	I did chop; I have chopped
agęsętwęh	I did kick it; I have kicked the ball
ageswahs	I smell it (at the time when this is being said)
ageswahsgęhę	I used to be able to smell (but my nose quit working)
agetedǫh	I did pound
agetgwęda	my wallet
agetgwędashǫ	my suitcases (i.e. a bunch of suitcases , bundled together or mentally grouped as a unit)
agetgwędashǫǫh	my suitcases (i.e. ones that are scattered around)
agetsenę	my pet
agetsęnyǫ	I have found it
agewęnadǫh	I have given up
agi	ouch!
agidagraǫh	I have fallen
agidaǫh	I was asleep, I am sleeping
agidas	I'm a (good) sleeper
agidę	I feel (felt) sorry for something
agidęht	I am poor, poverty-stricken, in poverty
agidręhdas	I am sleepy
agihsagǫh	I am looking for it
agǫdahǫh	I have put it in
agodehęǫhs	she became a widow
agodinhik	they (animal) made a mistake
agodredahetgęs	her car broke down
agodrihwaehs	she got blamed
agodrihwagyaǫ	she had an accident
agogadahsho	she smells the pants (said of prepubescent girls)
agǫgęhędę	I am sick of you
agogwas	she is digging, uncovering something
agǫgweda	my relatives (literally: my people)
agǫgwedahetgę	she is a cruel, mean person
agǫgwedase	she is a young woman
agǫgwediyo	she or someone is a nice person
agǫgweh	girl, woman; the female gender
agohsgęna	she had a stroke
agǫhwadanih	it has shown me something
agoihwanǫhkwak	I should care, respect your ideas
agojęhdahkwa	something that stands up in a dish
agonadrihwagyaǫ	they (female or mixed group) had an accident
agǫnahsgwek	I shut you up
agǫnhe	she is alive
agǫnhehgǫh	she or someone lives on it; she is sustained by it
agonhik	she made a mistake
agǫni	I would make, earn
agǫni	I did make, earn
agǫnihne	I used to or have made, earned
agǫnihs	she makes it into something; she earns
agonyagęs	I am passing wind
agǫtsanǫhwas	I have a sore knee
agowanhe	it became big
agǫwehsgwanih	I enjoy it
agǫweshahs	I am having a good time, enjoying something
agowiyageheyas	her baby died
agowiyęhs	a miscarriage
agowiyǫdi	she abandoned her child, had an abortion
agǫyǫ	I would give you
agradanǫhwas	I have a sore heel
agragewęh	I have erased or wiped
agragwęh	I have picked it out; I have chosen that one
agrahǫh	I did spread it already
agratę	I did climb
agrihode	I am working
agrihwaneagǫh	I have sinned
agrihwayena	I accept your word
agrisdowanęh	I am loud and noisy
agrohegǫh	I have gathered
agrǫhyagę	I am in agony, in pain
agwadęnǫhksǫ	we are relatives
agwagowanęh	we all (exclusive) are big 
agwahda	sole, ball of foot
agwahnęyes	we all (exclusive) are tall 
agwahwajiyowanęh	we all (exclusive) have a large family
agwanhǫhdagrahs	we all (exclusive), our armpits smell 
agwanojot	we all (exclusive) have teeth
agwanyahdę	we all are of the Turtle Clan
agwayada	our picture
agwe	we all (exclusive) want
agwegǫh	everything; all
agwęnata	I give up (all the time)
agwiya	my baby
agwiyaę	I have a child, offspring
agyadadaihę	I am hot
agyadadeht	I am nimble, active or energetic
agyadagęhe	I got limp, weak
agyadagęheyǫ	I am physically weak, slow
agyadahnyohne	we two (inclusive) did go fishing
agyadahshę	I am slow
agyadahshęh	I was late
agyadanǫhwas	I am sore; I ache
agyadasde	I am heavy
agyadawitra	coat, dress
agyadęnǫhk	my relative
agyadǫdadǫh	I shiver
agyagoihwaędas	she came to a decision
agyagwaęnaę	we all (exclusive) did play snowsnake
agyagwatnętsiyak	we all (exclusive) broke our arms
agyaǫhsra	a trick
agyathnǫhda	we two (inclusive) got gas
agyawęhęhgwait	opening bloom
agyę	I have, possess
agyedanǫhwaksǫh	I am going along aching
agyena	I caught it; I received it
agyenaǫ	I have caught it, received it
agyodewanegas	it got a flat tire
agyǫdih	I am smiling
agyǫdihagye	I am going along smiling
agyohsagae	the sound of smacking lips
agyǫhsęhto	she cried
agyǫhwęhjędǫh	earthquake
agyǫhwęjaihęh	earthquake; (literally: the land shook)
agyǫkyohsgwi	she did crawl (i.e. learned how to crawl)
agyonędahsdę	a stampede (literally: something made them run)
agyǫnigǫhogo	her mind is scattered
agyǫtgręgręht	she frowned
agyǫtnętsiyak	she broke her arm
ahadadeok	he axed himself
ahadadiyak	he shot himself
ahadadiyak hahǫnyohdahk	he shot himself
ahadadrihwagwenyas	a title; an honour; a goal (literally: he achieved for himself; he earned it for himself); successful
ahadadriyo	he killed himself (on purpose)
ahadahditrǫda	he put his socks on
ahadahgwaęhęhs	he pawned?
ahadawę	he swam
ahadedaǫni	he got dirty
ahadehęh	he felt shame
ahadejiohgyak	he did cut his nails
ahadeni	he emptied something; (literally: he changed it)
ahadetetra	he did powder himself
ahadidahswahęhdrǫ	they (male) scolded, reprimanded
ahadigahędę	they (male) made a hole
ahadihadodago	they (male) cut the forest right out
ahadihędohsga	they (male) cleared the fields, land
ahadihsgwadahgo	they (male) did geld it
ahadinanawęht	they (male) wet it
ahadinhahgyak	they (male) cut the logs
ahadinǫhsgai	they (male) made) a riot
ahadiǫgwaę	they (male) laid sod
ahadiyaǫgyak	they (male) cut a tree down
ahadodaisi	he got loose, escaped
ahadǫdę	he is singing adlfwaj
ahadǫgoht	he went past
ahadohǫhdǫhai	he did wash his ears
ahadǫhswedę	he will be short of breath
ahadowat	he should hunt
ahadowat	he did hunt
ahadowihshę	he rested
ahadręnǫni	he made a song
ahadrǫhyadahk	he balked at the suggestion
ahaęnaganye	he chanted, he trilled the music (ceremonial)
ahaęnahǫk	he heard music
ahaęnahsre	he followed the song; he sang along
ahaęnis	he made the song long
ahaęnǫda	he recorded songs or taped
ahaęnǫdahsǫ	he recorded many songs
ahagadahgwaęhęhs	he did pawn
ahagę	he saw
ahago	he chose
ahagǫhek	he punched it
ahagweni	he was able to do it
ahagyenawas	he helped me
ahahaha	he should or might come onto the road
ahahaha	he went onto the road here
ahahdo	he dived, he dove
ahahędaę	refers to men they (male) won the throw in a betting game)
ahahęt	he might, could lead
ahahninǫ	he bought it
ahahsiyaǫnyahnǫ	he is a fluid dancer
ahaihǫnyahnǫ	he produced something (literally: he made or started the idea)
ahaihwais	he accomplished or completed a task (ie. a speech); he carried out a responsibility
ahajihgwaek	he punched it 
ahak	he ate it
ahananawęht	he wet it
ahanǫhgwaek	he beat the drum (barrel)
ahanohsga	he notched it (tree, casket)
ahanǫhsgai	he raised cain, had a tantrum
ahanyo	he killed (an animal)
ahaǫhyagędahk	it made him work hard; he laboured
ahatę	he would climb an object (tree, stairs etc)
ahatgaęda	he pawned
ahatgǫhstǫęht	he shaved
ahatgweni	he won a competition
ahathnasǫ	he did oil himself
ahatnahsgǫni	he raised a pet 
ahatwaehs	he went to stay there; he was taken in (he had no place else to stay)
ahawiyanęhsgo	he stole a child, kidnapped
ahayagyenę	he fell over; refers to passing on
ahayęgwahsǫnyeht	he honoured them with tobacco
ahayętwago	he did harvest
ahayętwahse	he is/ is he going to plant over there
ahayętwahsek tsǫ	let him keep planting
ahayǫt	he scored; he brought it
ahdahgwa	shoes
ahdahgwaǫweh	moccasins; shoe (the type put on a corpse at a funeral)
ahdahgwiyos	nice shoes
ahe	he thought
ahę	he said
ahedę	I feel sorry for him
ahehihs	I bumped him (i.e. with a car)
ahęhsidohai	he did wash his feet
ahehswanedę	I supported him
ahehswaneht	I agree with him, support him
ahehswaneta	I supported him
ahehwawas	I agree with him, support him
ahejęt	I fixed (literally: cured) him; I got even with him
ahęnadahnyo	they (male) fished
ahęnadahnyohne	they (male) are / are they going fishing
ahęnadęnyo	they (male) killed someone
ahęnadrihwahseht	they (male) hid their idea (i.e. schemed)
ahęnatahita	they (male) came to a consensus; they followed their idea; now they are ready to go (referring to the Confederacy Council)
ahęnatahsrǫdana	they (male) went night-fishing
ahęnatahsrǫdę	they (male) carried a torch, lantern, flashlight
ahęnatgweni	they (male) won a competition
ahęnatgwęnige	the big win, victory; (literally: they (male) won big)
ahęnatǫdahsroni	they (male) pruned (literally: fixed) the trees
ahęnatǫgyak	they (male) cut the bush down
ahęnatǫwanędak	they (male) docked a boat
ahęne	they (male) thought; they left together
ahęni	they (male) said
ahęnigǫhokdę	he gave up (his will to live)
ahęnihę	he would stop (himself)
ahęnǫda	they (male) put them in
aheyeht	I should wake him up
aheyeht	I woke him up
ahgwęniyǫt	hanging clothes
ahgwęnya	clothing, clothes
ahgwęnya gahata	clothes dryer
ahgwęnyaędahkwa	closet
ahgwęnyagayǫh	old clothes
ahgwęnyagehǫ	clothes lying around
ahgwęnyaseshǫǫh	new clothes
ahgwih	don’t...
ahgwih ęhsatwihsdęda	do not waste your money
ahi	I thought, intended
ahodehęǫhs	a state of depression
ahodęhteah	tramp, hobo, vagabond
ahodinhik	they (male) made a mistake
ahodrehdahetgęs	his car broke down
ahodrihwaes	he was found guilty; he was accused
ahodrihwagyaǫ	he had an accident
ahǫgwedanęhsgo	they stole him (i.e. for another group); (literally: he was stolen)
ahohetsogo	it tricked him (like the frog)
ahohsgęna	he had a stroke
ahohsis	he was shot
ahǫhyagędahk	it made him work hard; he laboured
ahoihwaehs	she/he blamed him
ahonadrihwagyaǫ	they (male) had an accident
ahonakwęh	he became very angry
ahonehago	he was amazed or surprised
ahonhik	he made a mistake
ahonidodaehsę	he farted
ahonigǫhaęda	he understood
ahonǫdanha	he was found guilty
ahotwajiyǫdi	he abandoned his family
ahǫwadahgwaęhęhs	they pawned (to him, them (male))
ahǫwadęnyeht	he was sentenced; (literally: they sent him)
ahǫwadidrǫ	they placed or elected him
ahǫwadigę	they or she or he saw him, them (male)
ahǫwadigweni	they won a competition; (literally: they beat him, them (male))
ahǫwadihnyadrę	they hanged him, them (male)
ahǫwadihsaǫdę	they committed him to the main fire (refers to sending a delegate to the Gaihwi:yo: convention)
ahǫwadihsre	they chased or followed him
ahǫwadinǫhsǫnyę	they (male) built him a house
ahǫwadisgo	they (male) have baptized him, them (male)
ahǫwaditsgodę	they elected him, them (male)
ahǫwadiyadagęnye	they raked him over the coals; (literally: they dragged him around)
ahǫwadiyadahe	they gave him an operation
ahǫwadiyadęda	they burned the body, cremated him
ahǫwadiyena	they arrested, caught him, them (male)
ahǫwaęnanahkwa	he took his song
ahǫwaęnanhǫdago	he took over the song
ahǫwaęnǫ	someone gave him a song
ahǫwagweni	they won, he won, she won a competition; (literally: someone beat him)
ahǫwagyesaht	he abandoned her; he left her
ahǫwahaǫdǫ	they or she or he asked him, them (male)
ahǫwahe	he slashed him with a sharp instrument
ahǫwahnyadrę	he hanged him
ahǫwahseht	he robbed him
ahǫwahsis	he was shot by someone
ahǫwaihǫdę	they delegated him a duty
ahǫwanahseht	they robbed him, them (male)
ahǫwanahtga	they released him, them (male)
ahǫwanyo	someone killed him
ahǫwatgohowanahdę	she raped, molested him
ahǫwędanyo	someone beat him up, broke his spirit
ahǫwęnahtga	they released him, them (male)
ahǫwenowahsǫdrę	he's right behind him
ahoyadadidrǫgwahǫ	it made him twitch
ahoyenahsǫ	he had convulsions
ahoyǫdi	he smiled
ahsadadrihwagwenyas	you are a success
ahsadadrihwahdot	you committed suicide (high language)
ahsagodiyena	they arrested, caught her
ahsagokwahkwa	he grabbed the food from her
ahsagonahseht	they robbed her
ahsdeh	outside
ahsdeh heyęhdahkwa	toilet
ahsdeh ǫdǫdahkwa	toilet bowl
ahsdeh ǫdǫdahkwa ohyadǫhsra	toilet paper
ahsdehgeha	outside type
ahsdehgeha adekwahahsra	picnic table
ahsdehka akyędahkwa	lawn chair
ahsdehka ǫdawędahkwa	outdoor swimming pool
ahsdehka ǫdesgǫdahkwa	outdoor barbecue
ahsę niwahdahgwage	three shoes
ahsegrik	you wrinkled, fan-folded it; you made it smaller, shrank it
ahsegweni	you did succeed
ahsęh	three
ahsęh hadǫt	Wednesday (literally: the third day)
ahsęh hadǫtgęhę	Wednesday (past)
ahsęh hęwadras	three times
ahsęh hodijihsdaę	Three Fires Confederacy (Ojibwe, Potawatomi, Odawa)
ahsęh hǫwadijihsdęni	they were given three fires (by him, them (male))
ahsęh nadewęnyawe	three hundred
ahsęh nadeyodogaǫde	triangle
ahsęh nęyoda	three days from now
ahsęh nigagǫ gagǫgwedase	three young women
ahsęh nigahǫnadage	three potatoes
ahsęh nigahwihsdage	three dollars
ahsęh nigayage	three bags
ahsęh nigętsedage	three quarts
ahsęh niwahshę	thirty
ahsęh niwahshę ahsęh	thirty three
ahsęh niwahshę degrǫ	thirty eight
ahsęh niwahshę dekni	thirty two
ahsęh niwahshę gei	thirty four
ahsęh niwahshę gyohdǫ	thirty nine
ahsęh niwahshę hwihs	thirty five
ahsęh niwahshę hyei	thirty six
ahsęh niwahshę jadahk	thirty seven
ahsęh niwahshę sgat	thirty one
ahsęh niwęnihsgaǫt	it has three wheels
ahsęh niyohǫnadage	three potatoes
ahsęh niyohsidage	three feet (measurement or body part)
ahsęh niyojihsdage	three fires, lamps
ahsęh niyoyęhsrage	three blankets
ahsęh skae	thirteen
ahsęh wadota	third
ahsehsęnowanhe	you became famous
ahsgegę	you saw me (correction to workbook)
ahsgegęhędę	you got sick of me; you are bored with me
ahsgwa	roof
ahsgwageh	on top of the house, roof
ahsǫh	still, yet, some more; More! (Said when you want someone to finish pouring a drink.)
ahsǫheh	night
ahsǫhehka	night kind
ahsǫhehka etihsot	Moon Ceremony
ahyayadagenha	he would help you
aidwęnǫhdǫnyǫ	we all (inclusive) should or would think about 
ajahǫhsgwagǫ	in a whisper
aju!	exclamation; said when you touch something cold or hot
akdagye	the edge; beside
akdǫhgwahǫh	I have a fever
akedę	I feel sorry for her
akedę	I felt sorry for her
akiyahtga	we let them go, released them
aknaehs	I have a stepmother
aknagwa	my wife
aknakwęhs	something makes me angry
aknakwęǫh	I am angry
aknedradanih	I am nauseated, nauseous
akneganyohs	I have a hangover
aknehagwahs	I'm always amazed
aknehagwaǫh	I am amazed
aknęhgwi	I have moved it
aknętsa	my arm
aknidre	we two (exclusive) are dragging something; we are riding along
aknigǫhaędas	I understand
aknigǫhagahe	my mind got beat; I'm mentally exhausted
aknigǫhagaheyǫh	I am mentally exhausted
aknigǫhahetgęs	I am crying, uncontrollably
aknigǫhahniyǫh	I have a strong mind
aknigǫhakeyǫ	I have a tired mind
aknigǫhgahęhs	I am running out of patience; I am impatiently waiting
aknigǫhsadǫs	I am lonesome
aknigowanęh	we two (exclusive) are big 
aknihnęyes	we two (exclusive) are tall 
aknihsas	we two (exclusive) are looking for it
aknihsgoǫhǫgye	I am arriving late
aknihsrǫnyahnǫh	we two (inclusive) are making several things
aknikǫ	I should, might sew
aknikǫ	I have sewn
akninhǫhdagrahs	we two (exclusive), our armpits smell 
akninojot	we two (exclusive) have teeth
akniyǫdę	I did hang it up
akniyǫt	I hung it up
aknǫageh	on my head
aknǫanǫhwas	I have a headache
aknǫdahǫh	I have put gas in
aknǫha	I am unable
aknǫhǫkdanih	I am sick
aknǫhsaędǫ	they (female or mixed group) have several houses
aknǫhsagade	I have many houses
aknǫhsde	I value it
aknǫhsodǫ	I have several houses; I have put up several houses
aknǫhsot	I have a house
aknojanǫhwas	I have a toothache
aknǫnheht	I would fill
aknǫseh	I am lazy
aknoshę	I am envious
aknǫwak	I did get hungry for it
aknyǫhsagade	I have many squash
akǫjihne	I got dark, black (really tanned)
akre	I cut it
akrę	I put it some place
akręda	I did burn it
akrenęh	I did cut it
akyędahkwa	chair
akyędahkwageh	on the chair
akyędahkwagęhę	former chair, it used to be a chair
akyędahkwagwegǫh	all the chairs
akyędahkwakah	beside the chair
anahaotra	hat
aoda	it slept
aǫdadahǫdǫ	she asked her
aǫdagidrǫdak	I should have stayed at home
aǫdahaǫdǫ	she asked
aǫdahǫhdohai	she did wash her ears
aǫdatgę	dead tree
aǫdatgweni	she won a competition
aǫdawęne	she is / is she going swimming
aǫdehęǫhs	she became a widow
aǫdejiohgyak	she did cut her nails
aodek	it did burn
aǫdęnatragwaha	she went after groceries
aǫdetetra	she did powder herself
aodihetsogo	it did tricked them (animal) (frogs)
aǫdoihsręht	she did breathe (i.e. when she was born)
aǫdowihshę	she rested 
aǫdowihsręht	she did breathe (i.e. when she was born)
aodrehdadek	the car did burn
aǫdręnoni	she made a song
aodrihwagyaǫ	it had an accident
aogahgwędrǫdi	it snowed
aogahojadek	the grass burned; a grass fire
aogat	it is rough
aogę	it saw it
aǫgegę	she might see me
aǫgęhsrǫt	pocket, kangaroo
aǫgohdǫ ohdrǫhk	it is extremely dangerous
aǫgohdǫh	exceptional, above average; too much
aǫgohdǫh onenǫ	it is exceptionally hot (weather)
aǫgohsrǫt	pocket, kangaroo
